Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min
wind_and_solar_forecast - Wind Offshore_t-15min,0.0031852708242595326,0.002066367675378217,0.0041212033046977015,0.002653981211909013,0.0022319422498517268,0.0035482231926544047,0.0014957399368165625,0.0021709511041044607,0.003911691817771498,0.002232250035474408
load_forecast - Forecasted Load_t-150min,0.004143315700390304,0.0038682615899488155,0.0031758994968139405,0.0016321404872996937,0.0018566978033204577,0.0012629759205647134,0.002218610449359403,0.001787728643020273,0.003587187563088719,0.00398706294558815
load_forecast - Forecasted Load_t-135min,0.0038343190942541697,0.0047574584103995225,0.0040107875162466375,0.003747514837044946,0.00230290104676169,0.002758208132090658,0.002968615490293814,0.0042292596834104185,0.0023519647212378912,0.004906591137367286
load_forecast - Forecasted Load_t-120min,0.006529053843689326,0.006978303880474414,0.0066184026604460084,0.007657802321849885,0.0069286556410988855,0.0019272891159739629,0.0065253924318003555,0.007199272335828084,0.008424265714411376,0.00464183246716857
load_forecast - Forecasted Load_t-105min,0.004989301869351493,0.005262528182362075,0.002881518893171332,0.005251247816886462,0.001534544334573802,0.0015411948858209143,0.003412539794150689,0.002247768274959526,0.0024386935114234804,0.002736000699856959
load_forecast - Forecasted Load_t-90min,0.0035983485243082213,0.0036553820696462935,0.004839825497489073,0.0029773505392804507,0.0013653514343095593,0.002733966233773117,0.0018763479127407833,0.0050252708820116825,0.003338075384419426,0.004091226268369894
load_forecast - Forecasted Load_t-75min,0.007051760577661298,0.004899301132980326,0.0028926817227713855,0.0027899370218838157,0.0057217477803969815,0.0038936691677354247,0.0038258596456398663,0.0019046182767988285,0.0031807715550721694,0.004502965508854686
load_forecast - Forecasted Load_t-60min,0.00982036000466178,0.008529130034056835,0.008704715478899743,0.008290409309851384,0.011403879411431263,0.009687091542116832,0.008030239040774177,0.00776394862923189,0.005361183437778891,0.007046381017218664
load_forecast - Forecasted Load_t-45min,0.0037492358037816303,0.004101662211749499,0.0017055498477530477,0.002520115154326049,0.0014340622863846875,0.0022323176615846024,0.005895337554178696,0.0026180060633005267,0.0030157817303115733,0.003183857008058112
load_forecast - Forecasted Load_t-30min,0.004397852826594317,0.004647711589855589,0.0025438240942366975,0.007541672525338072,0.006203483713969035,0.003284511061170633,0.001244975678219351,0.005014828703147486,0.0021570314063637853,0.0038311252485291334
load_forecast - Forecasted Load_t-15min,0.002668258917876301,0.001766431282792837,0.0022750382633552704,0.0014727617754356289,0.0017735336719088082,0.0031803772798830324,0.0014900414075850676,0.0012616559054213212,0.0013742144109346556,0.0020668457626870805
